timestamp,price,market_cap
2025-03-17 10:09,"$83,497.62",$1.65T
2025-03-17 10:12,"$83,417.55",$1.65T
2025-03-17 10:34,"$83,339.20",$1.65T
2025-03-17 10:48,"$83,418.84",$1.65T
2025-03-17 11:01,"$83,292.78",$1.65T
2025-03-17 11:23,"$83,509.49",$1.65T
2025-03-17 11:36,"$83,534.30",$1.65T
2025-03-17 11:49,"$83,572.48",$1.65T
2025-03-17 12:16,"$83,296.36",$1.65T
2025-03-17 12:58,"$83,107.31",$1.64T
2025-03-17 13:34,"$83,157.46",$1.64T
2025-03-17 13:48,"$83,238.90",$1.65T
2025-03-17 14:00,"$82,996.32",$1.64T
2025-03-17 14:28,"$82,830.26",$1.64T
2025-03-17 14:44,"$83,202.17",$1.65T
2025-03-17 14:57,"$82,890.23",$1.64T
2025-03-17 15:27,"$83,489.13",$1.65T
2025-03-17 15:43,"$83,344.08",$1.65T
2025-03-17 15:56,"$83,638.39",$1.65T
